node1,node2,network
408227,1405338,1
408227,1560207,1
408227,28811,1
408227,372017,1
408227,17213,1
408227,407298,1
408227,1104321,1
408227,200968,1
422918,630362,1
422918,898133,1
422918,1557703,1
422918,295723,1
422918,1340481,1
450691,997959,1
450691,523110,1
450691,144330,1
450691,1316157,1
450691,1368542,1
450691,1455400,1
450691,145817,1
450691,1373629,1
450691,959243,1
450691,998986,1
450691,320529,1
450691,1442445,1
450691,421301,1
450691,1581363,1
450691,1076189,1
450691,672406,1
450691,1014286,1
450691,701083,1
450691,911790,1
450691,857104,1
450691,539765,1
450691,1026751,1
450691,43840,1
450691,668034,1
450691,1017247,1
450691,20580,1
450691,489434,1
450691,1558205,1
450691,1022982,1
450691,1215772,1
450691,136748,1
450691,142722,1
450691,1048374,1
450691,1432415,1
450691,1360089,1
450691,1581314,1
450691,1005450,1
450691,964016,1
450691,1426014,1
450691,155996,1
450691,718477,1
450691,707506,1
450691,1110367,1
450691,351852,1
450691,1360221,1
450691,395844,1
457073,1177164,1
457073,349986,1
457073,436620,1
457073,790399,1
457073,732624,1
457073,1047893,1
457073,211956,1
463792,1456146,1
463792,219346,1
463792,178074,1
463792,698521,1
463792,1494674,1
463792,1072380,1
463792,535107,1
463792,1522729,1
463792,699461,1
463792,475793,1
463792,676402,1
463792,884515,1
463792,6716,1
500739,396265,1
500739,1409945,1
500739,1587463,1
500739,1313410,1
500739,820561,1
500739,311498,1
500739,868419,1
500739,1124774,1
500739,189369,1
500739,602239,1
500739,145574,1
500739,836051,1
523921,1309140,1
523921,692884,1
523921,248497,1
523921,1145488,1
523921,70887,1
523921,342943,1
523921,215958,1
523921,119772,1
523921,542198,1
523921,852417,1
523921,1485302,1
523921,905713,1
523921,876624,1
523921,808810,1
523921,536335,1
523921,534153,1
523921,580350,1
523921,434192,1
523921,1563045,1
523921,1274816,1
523921,254802,1
523921,965699,1
523921,244130,1
523921,1448029,1
523921,1178329,1
523921,170832,1
523921,12750,1
523921,265067,1
523921,1386523,1
523921,162989,1
548930,1144465,1
548930,1165662,1
548930,1540950,1
548930,1230308,1
548930,883275,1
548930,1429869,1
548930,385218,1
548930,1101030,1
548930,918635,1
548930,823083,1
548930,16598,1
548930,725297,1
548930,471388,1
548930,30984,1
548930,962563,1
555264,1259154,1
555264,711072,1
555264,1553258,1
555264,797513,1
555264,1358215,1
555264,225851,1
555264,1320251,1
555264,234059,1
555264,1415215,1
555264,1475615,1
555264,834317,1
566064,890502,1
566064,1249787,1
566064,1306830,1
566064,214466,1
566064,645487,1
566064,607344,1
566064,903456,1
566064,1145488,1
566064,237572,1
566064,1338133,1
566064,40761,1
566064,1217901,1
