node1,node2
231190,181697
231190,269784
231190,274798
231190,300970
231190,392886
231190,396554
231190,460372
231190,466123
231190,545075
231190,581571
231190,675035
231190,868946
231190,944246
231190,1069393
231190,1107024
231190,1115669
231190,1178233
231190,1269219
231190,1341525
231190,1443022
231190,1535698
231190,1546330
269784,8055
269784,26927
269784,30544
269784,33325
269784,50999
269784,71442
269784,74162
269784,118645
269784,147564
269784,169729
269784,181697
269784,228289
269784,236926
269784,245777
269784,260470
269784,274798
269784,287874
269784,354616
269784,366097
269784,368377
269784,388181
269784,396554
269784,460372
269784,462495
269784,496169
269784,498028
269784,528519
269784,557414
269784,581571
269784,613042
269784,664552
269784,670682
269784,675035
269784,715607
269784,826959
269784,902245
269784,933901
269784,980268
269784,1069393
269784,1107024
269784,1115669
269784,1155920
269784,1269219
269784,1272676
269784,1341525
269784,1368815
269784,1403244
269784,1413209
269784,1491295
269784,1503146
269784,1546330
274798,71442
274798,118645
274798,169729
274798,382836
274798,228289
274798,206637
274798,396554
274798,462495
274798,466123
274798,498028
274798,581571
274798,670682
274798,675035
274798,715607
274798,902245
274798,1097459
274798,1269219
274798,1341525
274798,1413209
274798,1443022
274798,1491295
354616,181697
354616,228289
354616,366097
354616,392886
354616,460372
354616,466123
354616,944246
354616,1097459
354616,1115669
354616,1178233
354616,1269219
354616,1341525
354616,1419451
354616,1476360
354616,1491295
396554,30544
396554,50999
396554,147564
396554,181697
396554,236926
396554,289969
396554,466123
396554,473028
396554,528519
396554,545075
396554,581571
396554,675035
396554,826959
396554,915880
396554,944246
396554,980268
396554,1069393
396554,1341525
396554,1476360
466123,33325
466123,42089
466123,50999
466123,74162
466123,228289
466123,260470
466123,289969
466123,368377
466123,498028
466123,545075
466123,581571
466123,670682
466123,826959
466123,868946
466123,902245
466123,933901
466123,1115669
466123,1155920
466123,1269219
466123,1413209
466123,1491295
466123,1546330
466123,528519
545075,30544
545075,260470
545075,392886
545075,430265
545075,460372
545075,767585
545075,944246
545075,996754
545075,1069393
545075,1136921
545075,1149435
545075,1178233
545075,1341525
545075,1443022
545075,1464005
545075,1476360
826959,26927
826959,30544
826959,71442
826959,88873
826959,118645
826959,181697
826959,236926
826959,260470
826959,289969
826959,368377
826959,392886
826959,462495
826959,528519
826959,675035
826959,715607
826959,944246
826959,980268
826959,1107024
826959,1155920
826959,1341525
826959,1402063
826959,1413209
826959,1546330
944246,33325
944246,88873
944246,236926
944246,289969
944246,388181
944246,460372
944246,528519
944246,557414
944246,581571
944246,675035
944246,902245
944246,933901
944246,980268
944246,1413209
944246,1419451
1115669,50999
1115669,169729
1115669,498028
1115669,528519
1115669,675035
1115669,1341525
1115669,1542946
1178233,392886
1178233,462495
1178233,498028
1178233,528519
1178233,581571
1178233,1107024
1178233,1341525
1178233,1544712
1225712,162790
1225712,1436802
1341525,33325
1341525,50999
1341525,74162
1341525,118645
1341525,132090
1341525,147564
1341525,169729
1341525,181697
1341525,236926
1341525,260470
1341525,289969
1341525,368377
1341525,376936
1341525,388181
1341525,460372
1341525,496169
1341525,498028
1341525,528519
1341525,536739
1341525,557414
1341525,581571
1341525,613042
1341525,670682
1341525,675035
1341525,715607
1341525,723588
1341525,731344
1341525,902245
1341525,933901
1341525,980268
1341525,997221
1341525,1069393
1341525,1097459
1341525,1107024
1341525,1155920
1341525,1269219
1341525,1403244
1341525,1419451
1341525,1443022
1341525,1476360
1341525,1491295
1341525,1503949
1341525,1549608
1341525,1553870
1419451,71442
1419451,74162
1419451,181697
1419451,228289
1419451,366097
1419451,557414
1419451,868946
1476360,33325
1476360,169729
1476360,181697
1476360,366097
1476360,496169
1476360,498028
1476360,528519
1476360,581571
1476360,715607
1476360,1069393
1476360,1269219
1476360,1413209
1476360,1546330
1546330,65353
1546330,181697
1546330,452404
1546330,611607
1546330,768734
1546330,879818
1546330,902245
1546330,980268
1546330,1107024
1546330,1148552
1546330,1413209
1546330,1491295
2079,833551
2079,972887
2079,979919
2079,1042195
2079,1365367
833551,41844
833551,743494
833551,299310
833551,890614
833551,1365367
979919,80841
979919,612139
979919,1217141
1042195,467425
1042195,1130285
1042195,1252345
1365367,299310
869232,53028
869232,364867
869232,1330910
